RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,SpecCodeType,SpecCode,SpecVal,Sex,TotalNo,CatIdentifier,NoMeas,SubFactor,SubWgt,CatCatchWgt,LngtCode,LngtClass,HLNoAtLngt,DevStage,LenMeasType,DateofCalculation,Valid_Aphia
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,107254,1,M,2,1,1,1,NA,119,.,44,2,NA,NA,20210609,107254
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,107254,1,F,4,1,2,1,NA,108,.,34,4,NA,NA,20210609,107254
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126484,1,NA,332,1,166,1,NA,10701,1,7,6,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126484,1,NA,332,1,166,1,NA,10701,1,8,28,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126484,1,NA,332,1,166,1,NA,10701,1,9,48,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126484,1,NA,332,1,166,1,NA,10701,1,10,90,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126484,1,NA,332,1,166,1,NA,10701,1,11,64,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126484,1,NA,332,1,166,1,NA,10701,1,12,32,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126484,1,NA,332,1,166,1,NA,10701,1,55,2,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126484,1,NA,332,1,166,1,NA,10701,1,25,4,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126484,1,NA,332,1,166,1,NA,10701,1,31,2,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126484,1,NA,332,1,166,1,NA,10701,1,38,2,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126484,1,NA,332,1,166,1,NA,10701,1,41,2,NA,NA,20210609,126484
