RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,DateofCalculation
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,934,1,2018,10,6,658,53,30,D,40.2233,-9.0766,40.245,-9.0533,09E0,71,I,NA,1,1,C,-9,NA,NA,3118,250,NA,NA,-9,NA,-9,-9,NA,-9,NA,38,3.4,-9,NA,-9,NA,-9,NA,NA,NA,-9,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,23,2,2018,10,6,923,53,30,D,40.1933,-9.0166,40.17,-9.0383,09E0,53,V,NA,1,1,C,-9,NA,NA,3181,250,NA,NA,-9,NA,-9,-9,NA,-9,NA,212,3.4,-9,NA,-9,NA,-9,360,5,360,1.5,16.8,14,35.65,35.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,24,3,2018,10,6,1125,53,30,D,40.1783,-9.1199,40.1516,-9.1233,09E0,86,V,NA,1,1,C,-9,NA,NA,2978,350,NA,NA,-9,NA,-9,-9,NA,-9,NA,181,3.3,-9,NA,-9,NA,-9,360,5,360,1.5,17.4,13.7,35.64,35.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,26,35,2018,10,25,900,55,30,D,40.1666,-9.5916,40.1899,-9.5799,09E0,238,V,NA,1,1,C,4,NA,NA,2777,900,NA,NA,-9,NA,-9,-9,NA,-9,NA,19,3.5,-9,NA,-9,NA,-9,360,0,315,1.5,18.5,13.3,35.7,35.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,25,36,2018,10,25,1132,54,30,D,40.1466,-9.3899,40.1183,-9.3916,09E0,131,V,NA,1,1,C,4,NA,NA,3153,550,NA,NA,-9,NA,-9,15.5,NA,-9,NA,179,3.5,-9,NA,-9,NA,-9,360,0,315,1.5,17.3,13.2,35.6,35.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,995,34,2018,10,25,715,55,30,D,40.1083,-9.5966,40.1366,-9.5966,09E0,237,V,NA,1,1,C,4.2,NA,NA,3150,1000,NA,NA,-9,NA,-9,-9,NA,-9,NA,360,3.5,-9,NA,-9,NA,-9,45,5,315,1.5,18.6,12.9,35.7,35.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,28,4,2018,10,6,1400,53,30,D,40.015,-9.1716,39.9816,-9.1666,09E0,90,V,NA,1,1,C,-9,NA,NA,3730,350,NA,NA,-9,NA,-9,-9,NA,-9,NA,201,3.4,-9,NA,-9,NA,-9,360,7,360,1.5,18.2,14.1,35.66,35.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,29,37,2018,10,25,1332,54,30,D,40.0016,-9.3649,39.9716,-9.36,09E0,126,V,NA,1,1,C,4,NA,NA,3362,500,NA,NA,-9,NA,-9,14.5,NA,-9,NA,165,3.5,-9,NA,-9,NA,-9,NA,NA,315,1.5,17.9,13.5,35.7,35.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,27,38,2018,10,25,1650,53,20,D,39.9916,-8.9933,39.9716,-8.9933,08E1,33,V,NA,1,1,C,5.2,NA,NA,2223,100,NA,NA,-9,NA,-9,8.4,NA,-9,NA,191,3.5,-9,NA,-9,NA,-9,NA,NA,315,1.5,17.2,16,35.6,35.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,31,41,2018,10,26,1300,53,30,D,39.8116,-9.1883,39.7866,-9.1833,08E0,77,V,NA,1,1,C,4.5,NA,NA,2812,300,NA,NA,-9,NA,-9,11.9,NA,-9,NA,176,3.5,-9,NA,-9,NA,-9,315,7,315,1.5,16.7,15.1,35.7,35.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,33,39,2018,10,26,711,54,30,D,39.7549,-9.5349,39.7299,-9.525,08E0,150,V,NA,1,1,C,4,NA,NA,2908,600,NA,NA,-9,NA,-9,14.8,NA,-9,NA,163,3.4,-9,NA,-9,NA,-9,NA,NA,315,1.5,18.6,13.8,35.8,35.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,1002,40,2018,10,26,900,55,30,D,39.6866,-9.5883,39.6616,-9.595,08E0,220,V,NA,1,1,C,3.8,NA,NA,2837,1050,NA,NA,-9,NA,-9,15,NA,-9,NA,184,3.4,-9,NA,-9,NA,-9,NA,0,315,1.5,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,63,44,2018,10,31,1147,53,30,D,36.995,-7.7083,36.9816,-7.7366,02E2,75,V,NA,1,1,C,-9,NA,NA,2920,350,NA,NA,-9,NA,-9,13.9,NA,-9,NA,236,3.5,-9,NA,-9,NA,-9,270,5,270,1.5,17.4,14.3,36.2,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,59,51,2018,11,1,1620,53,30,D,36.9683,-8.385,36.9633,-8.4166,02E1,68,V,NA,1,1,C,4.3,NA,NA,2867,350,NA,NA,-9,NA,-9,14.6,NA,-9,NA,264,3.5,-9,NA,-9,NA,-9,315,6,315,1.5,17.4,14.9,36.2,36.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,61,47,2018,11,1,700,53,30,D,36.9616,-8.1333,36.9599,-8.1666,02E1,41,V,NA,1,1,C,4.6,NA,NA,2967,200,NA,NA,-9,NA,-9,12.4,NA,-9,NA,272,3.5,-9,NA,-9,NA,-9,315,5,315,1.5,18.2,17,36.3,36.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,57,52,2018,11,2,700,54,30,D,36.9566,-8.7333,36.945,-8.7633,02E1,103,I,NA,1,1,C,5.2,NA,NA,2964,400,NA,NA,-9,NA,-9,15.7,NA,-9,NA,230,3.5,-9,NA,-9,NA,-9,NA,NA,315,1.5,-9,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,65,43,2018,10,31,950,54,30,D,36.9533,-7.5916,36.95,-7.6233,02E2,177,V,NA,1,1,C,-9,NA,NA,2838,800,NA,NA,-9,NA,-9,-9,NA,-9,NA,256,3.5,-9,NA,-9,NA,-9,295,5,295,1.5,18.7,14.1,36.3,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,925,46,2018,10,31,1710,53,30,D,36.9066,-8.01,36.9166,-8.0416,02E1,75,V,NA,1,1,C,-9,NA,NA,3027,300,NA,NA,-9,NA,-9,13.2,NA,-9,NA,285,3.5,-9,NA,-9,NA,-9,NA,NA,NA,-9,17.6,16.5,36.2,36.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,66,42,2018,10,31,720,55,30,D,36.8983,-7.4083,36.9116,-7.4333,02E2,330,V,NA,1,1,C,-9,NA,NA,2671,1200,NA,NA,-9,NA,-9,-9,NA,-9,NA,299,3.5,-9,NA,-9,NA,-9,295,5,NA,-9,19,13.7,36.4,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,64,45,2018,10,31,1414,55,29,D,36.8983,-7.815,36.8816,-7.8366,02E2,277,V,NA,1,1,C,-9,NA,NA,2673,900,NA,NA,-9,NA,-9,15.2,NA,-9,NA,232,3.5,-9,NA,-9,NA,-9,270,5,270,1.5,19.3,14.2,36.4,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,62,48,2018,11,1,916,55,30,D,36.845,-8.0633,36.8266,-8.0883,02E1,216,V,NA,1,1,C,3.8,NA,NA,3017,900,NA,NA,-9,NA,-9,15.2,NA,-9,NA,225,3.3,-9,NA,-9,NA,-9,315,5,315,1.5,18.5,14,36.3,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,930,49,2018,11,1,1130,54,30,D,36.8349,-8.2149,36.8433,-8.2483,02E1,110,V,NA,1,1,C,4.4,NA,NA,3107,400,NA,NA,-9,NA,-9,13.6,NA,-9,NA,284,3.4,-9,NA,-9,NA,-9,315,5,315,1.5,18.8,14.8,36.3,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,60,50,2018,11,1,1340,55,30,D,36.8166,-8.3916,36.815,-8.4233,02E1,238,V,NA,1,1,C,4.5,NA,NA,2825,950,NA,NA,-9,NA,-9,14.8,NA,-9,NA,266,3.5,-9,NA,-9,NA,-9,315,5,315,1.5,18.7,14.2,36.3,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,979,21,2018,10,11,1230,54,30,D,41.0316,-9.21,41.0183,-9.2416,11E0,145,V,NA,1,1,C,4.3,NA,NA,3042,600,NA,NA,-9,NA,-9,14.6,NA,-9,NA,240,3.3,-9,NA,-9,NA,-9,270,5,270,1,16.8,12.8,35.44,35.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,981,19,2018,10,11,650,53,30,D,41,-8.8483,40.9766,-8.85,11E1,48,V,NA,1,1,C,4.2,NA,NA,2598,200,NA,NA,-9,NA,-9,13.7,NA,-9,NA,176,3.1,-9,NA,-9,NA,-9,200,5,200,1.5,16.5,13.5,35.28,25.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,13,20,2018,10,11,945,53,30,D,40.92,-8.99,40.95,-8.9933,10E1,73,V,NA,1,1,C,4.3,NA,NA,3347,300,NA,NA,-9,NA,-9,11.6,NA,-9,NA,354,3.5,-9,NA,-9,NA,-9,225,5,225,1,16.7,13.2,35.38,35.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,12,24,2018,10,17,705,53,30,D,40.9049,-8.7733,40.8783,-8.7766,10E1,29,V,NA,1,1,C,-9,NA,NA,2978,150,NA,NA,-9,NA,-9,-9,NA,-9,NA,187,3.5,-9,NA,-9,NA,-9,190,5,190,1,16.5,16.2,35.5,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,15,22,2018,10,11,1458,55,31,D,40.895,-9.3433,40.8716,-9.325,10E0,226,V,NA,1,1,C,5.4,NA,NA,3017,600,NA,NA,-9,NA,-9,12.6,NA,-9,NA,158,3.2,-9,NA,-9,NA,-9,270,5,270,1,17.4,12.8,35.49,35.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,14,23,2018,10,11,1700,54,30,D,40.87,-9.1916,40.8966,-9.1766,10E0,134,V,NA,1,1,C,4.2,NA,NA,3222,500,NA,NA,-9,NA,-9,13.8,NA,-9,NA,27,3.1,-9,NA,-9,NA,-9,270,5,270,1,17.1,12.8,35.47,35.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
HH,PT-IBTS,4,PT,68NA,NCT,NA,B,P,17,27,2018,10,23,1310,53,30,D,40.6666,-8.9933,40.6383,-8.9766,10E1,65,V,NA,1,1,C,4.4,NA,NA,3450,300,NA,NA,-9,NA,-9,20.5,NA,-9,NA,158,3.5,-9,NA,-9,NA,-9,NA,NA,315,1,17.1,14.5,35.7,35.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210609
